Company Name,Website,City,Address,Company Stage,Focus Areas,Validation_Source
CellMP,http://www.cellmp.com/,Menlo Park,"3475 Edison Way suite t, Menlo Park, CA 94025, USA",Tools/Services/CDMO,"Cell Therapy Services, Consulting",Existing
CellMax Life,http://cellmaxlife.in/,Sunnyvale,"1271 Oakmead Pkwy, Sunnyvale, CA 94085, USA",Unknown,Blood Test for Colon Cancer,Existing
CellSight Technologies,http://cellsighttechnologies.com/,San Francisco,"185 Berry St #350, San Francisco, CA 94107, USA",Pre-clinical/Startup,Cancer immunotherapy imaging,Existing
Cellanome,https://cellanome.com/,Foster City,"500 Lincoln Centre Dr, Foster City, CA 94404, USA",Unknown,Multiomics Platform,Existing
Cellares,https://www.cellares.com,South San Francisco,"345 Allerton Ave, South San Francisco, CA 94080",Tools/Services/CDMO,Automated cell therapy manufacturing platform (The Cell Shuttle). Process engineering focus.,Existing
Cellastra,http://cellastra.com/,San Francisco,"201 Spear St #1100, San Francisco, CA 94105, USA",Pre-clinical/Startup,Anti-scarring gene therapy/peptides,Existing
Cellecta,https://cellecta.com/,Mountain View,"320 Logue Ave, Mountain View, CA 94043, USA",Unknown,"CRISPR and RNAi Genetic Screens, Libraries and Construct; Sequencing; RNA Expression Profiling; Barcode Libraries",Existing
Cellentia,https://www.celential.ai/,Mountain View,"883 N Shoreline Blvd B220, Mountain View, CA 94041, USA",Tools/Services/CDMO,Custom Bioassays,Existing
Cellsonics,http://www.namocell.com/,San Jose,"3001 Orchard Pkwy, San Jose, CA 95134, USA",Unknown,Single Cell Sample Prep,Existing
Celltheon,http://www.celltheon.com/,Union City,"32980 Alvarado-Niles Rd #826, Union City, CA 94587, USA",Unknown,Protein expression technology,Existing
Celltrio,https://celltrio.com/,Fremont,"47777 Warm Springs Blvd, Fremont, CA 94539, USA",Unknown,Life Science Robotics,Existing
Cellular Vehicles,https://cellanome.com/,San Mateo,"500 Lincoln Centre Dr, Foster City, CA 94404, USA",Unknown,Process automation platform for cell and gene therapies,Existing
Cellworks,https://cellworks.life/,South San Francisco,"400 Oyster Point Blvd Suite 207, South San Francisco, CA 94080, USA",Unknown,Biosimulations,Existing
Centivax,https://www.centivax.com,South San Francisco,"1 Tower Place, Suite 800, South San Francisco, CA 94080",Clinical-Stage Biotech,Broad-spectrum vaccines and antibody therapeutics for infectious diseases.,Existing
Centrillion Technologies,https://www.centrilliontech.com/contact-2/,Palo Alto,"2500 Faber Pl, Palo Alto, CA 94303, USA",Tools/Services/CDMO,Genomic Services,Existing
Cepheid,http://www.cepheid.com/,Sunnyvale,"904 E Caribbean Dr, Sunnyvale, CA 94089, USA",Unknown,Molecular Diagnostics,Existing
Cerebra AI,https://cerebraai.ai/,Palo Alto,"320 High St, Palo Alto, CA 94301, USA",Unknown,AI-driven neuroradiology software for rapid acute ischemic stroke detection,Existing
Ceribell,https://www.ceribell.com/,Sunnyvale,"360 N Pastoria Ave, Sunnyvale, CA 94085, USA",Unknown,Fast EEG,Existing
Cerus Corporation,https://www.cerus.com,Concord,"1220 Concord Avenue, Concord, CA 94520",Commercial-Stage Biotech,"Blood safety; pathogen inactivation. Biochemistry & immunology;
product development & GMP.",Existing
Chai Discovery,http://bayareadiscoverymuseum.org/,San Francisco,"Art Studios, 557 McReynolds Rd, Sausalito, CA 94965, USA",Unknown,AI Antibody Discovery,Existing
Channel Medsystems,https://cerene.com/,Berkeley,"2919 Seventh St, Berkeley, CA 94710, USA",Unknown,Endometrial ablation for women with heavy menstrual bleeding,Existing
Chantibody,http://www.csbio.com/,Menlo Park,"20 Kelly Ct, Menlo Park, CA 94025, USA",Unknown,Antibody discovery platform,Existing
Chimera Bioengineering,http://missionbio.com/,South San Francisco,"300 Utah Ave Suite 210, South San Francisco, CA 94080, USA",Unknown,CAR-T therapies,Existing
Chrysalis Biomedical Advisors,https://chrysalisbiomed.com,Redwood City,"163 Hudson Street, Redwood City, CA 94062",Tools/Services/CDMO,Boutique strategy consulting firm,Existing
CinderBio,https://www.tierrabiosciences.com/,San Leandro,"1933 Davis St Ste 223, San Leandro, CA 94577, USA",Unknown,Proteases for proteomics analyses,Existing
Cipherome,http://www.cipherome.com/,San Jose,"2674 N First St suite 100, San Jose, CA 95134, USA",Pre-clinical/Startup,Genetic Screening for Ideal Treatments,Existing
Circle Pharma,http://www.circlepharma.com/,South San Francisco,"169 Harbor Wy, South San Francisco, CA 94080, USA",Tools/Services/CDMO,Macrocyclic Therapeutics,Existing
Clear Labs,https://www.clearlabs.com/,San Carlos,"1559 Industrial Rd, San Carlos, CA 94070, USA",Unknown,Automated Next-Generation Sequencing Platforms for Pathogen Detection and Genomic Surveillance,Existing
ClearNote Health,https://www.clearnotehealth.com/,San Mateo,"10578 Science Center Dr, San Diego, CA 92121, USA",Unknown,Liquid Biopsy,Existing
Cleo Life Sciences,http://www.califesciences.org/,South San Francisco,"685 Gateway Blvd #100, South San Francisco, CA 94080, USA",Tools/Services/CDMO,"CMC Consulting, Contract Research",Existing
Climax Laboratories,http://climaxlabs.com/,San Jose,"1939 Monterey Road STE 10, San Jose, CA 95112, USA",Tools/Services/CDMO,Bio-analytical services,Existing
Clinuvel Pharmaceuticals,https://clinovo.com/,Burlingame,"533 Airport Blvd. #400, Burlingame, CA 94010, USA",Unknown,Small Molecules,Existing
CloudCath,https://www.cloudcath.com/,San Francisco,"665 3rd St, San Francisco, CA 94107, USA",Unknown,Remote Catheter Monitoring Platform,Existing
CoA Therapeutics,https://www.quantatx.com/,San Francisco,"Tower Pl, South San Francisco, CA 94080, USA",Pre-clinical/Startup,Drugs targeting Coenzyme-A,Existing
CoaguSense,http://www.coagusense.com/,Fremont,"48377 Fremont Blvd #113, Fremont, CA 94538, USA",Unknown,Coagulation monitor,Existing
Coagulant Therapeutics,http://carmot-therapeutics.us/,Berkeley,"740 Heinz Ave, Berkeley, CA 94710, USA",Unknown,RFVIIa analogue,Existing
Coda Biotherapeutics,https://www.codebiotx.com,South San Francisco,"329 Oyster Point Blvd, 3rd Floor, South San Francisco, CA 94080",Acquired,Chemogenetic gene therapy platform. Note: Company ceased operations in 2023.,Existing
Codexis,https://www.codexis.com,Redwood City,"200 Penobscot Drive, Redwood City, CA 94063",Commercial-Stage Biotech,Enzyme engineering (CodeEvolver® platform) for pharma biocatalysis and siRNA manufacturing. Direct enzyme engineering fit.,Existing
Coherence Neuro,https://coherenceneuro.com/,San Francisco,"27 High Street Chesterton, Chesterton, Cambridge CB4 1NQ, UK",Pre-clinical/Startup,Cancer Therapy Wearable,Existing
Coherus Oncology,http://www.coherus.com/,Redwood City,"333 Twin Dolphin Dr #600, Redwood City, CA 94065, USA",Unknown,"Biologics, Biosimilars",Existing
Collaborative Drug Discovery,https://www.collaborativedrug.com/,Burlingame,"1633 Old Bayshore Hwy # 342, Burlingame, CA 94010, USA",Unknown,Biological & Chemical Database,Existing
Color,https://www.color.com/,Burlingame,"831 Mitten Rd #100, Burlingame, CA 94010, USA",Unknown,"Genetic testing, direct to consumer",Existing
Compact Cath,http://www.compactcath.com/,Redwood City,"1755 E Bayshore Rd Suite 10A & 10B, Redwood City, CA 94063, USA",Unknown,Catheter,Existing
Comparative Biosciences,https://www.compbio.com/,Sunnyvale,"786 Lucerne Dr, Sunnyvale, CA 94085, USA",Unknown,"GLP and non-GLP preclinical toxicology, efficacy, pharmacology, histopathology, and safety studies on all laboratory species.",Existing
Complete Genomics,http://www.completegenomics.com/,San Jose,"2904 Orchard Pkwy, San Jose, CA 95134, USA",Unknown,Genomic Studies,Existing
Compugen,http://www.gene.com/,San Francisco,"1 DNA Way, South San Francisco, CA 94080, USA",Unknown,Biologics,Existing
ConKay Medical Systems,https://noctrixhealth.com/,Pleasanton,"6700 Koll Center Pkwy Suite 310, Pleasanton, CA 94566, USA",Unknown,Advancing solutions to treat valvular regurgitation in patients with progressive heart failure,Existing
Concentric Analgesics,https://www.concentricanalgesics.com/,San Francisco,"101 California St UNIT 1210, San Francisco, CA 94111, USA",Pre-clinical/Startup,Drug discovery & development,Existing
Conception,http://pivotbio.com/,Berkeley,"2910 Seventh St, Berkeley, CA 94710, USA",Unknown,Conversion of cells into eggs,Existing
Confidence Pharmaceutical Research,https://confidenceresearch.com/,Burlingame,"702 Marshall St STE 300, Redwood City, CA 94063, USA",Unknown,Clinical Research,Existing
Confluent Medical Technologies,http://www.confluentmedical.com/,Fremont,"47533 Westinghouse Dr, Fremont, CA 94539, USA",Tools/Services/CDMO,"Contract Medical Devices, Nitinol, Catheters, Textiles",Existing
ConfometRx,https://www.vibrant-wellness.com/,Santa Clara,"3521 Leonard Ct, Santa Clara, CA 95054, USA",Pre-clinical/Startup,Structure-based drug development tools,Existing
Convergent Genomics,http://www.convergentgenomics.com/,South San Francisco,"425 Eccles Ave, South San Francisco, CA 94080, USA",Unknown,Clear and actionable insights on cancer,Existing
Corcept Therapeutics,https://corcept.com,Redwood City,"101 Redwood Shores Parkway, Redwood City, CA 94065",Commercial-Stage Biotech,"Small molecule cortisol modulators for metabolic, oncologic, and neurologic disorders.",Existing
Cordance Medical,https://cordancemedical.com/,Mountain View,"2483 Old Middlefield Way, Mountain View, CA 94043, USA",Unknown,Non-invasive Device Opening Blood-Brain Barrier,Existing
Correlia Biosystems,http://www.correliabio.com/,Berkeley,"626 Bancroft Way Suite A, Berkeley, CA 94710, USA",Unknown,Streamlined proteomic / pharmaceutical assay platforms,Existing
Corsair Pharma,http://www.jsrlifesciences.com/,Sunnyvale,"1280 N Mathilda Ave, Sunnyvale, CA 94089, USA",Pre-clinical/Startup,PAH treatment,Existing
Cortex,https://diagnostics.roche.com/,Santa Clara,"2881 Scott Blvd, Santa Clara, CA 95050, USA",Pre-clinical/Startup,Mapping and ablation solution suite for the treatment of atrial fibrillation,Existing
Corvus Pharmaceuticals,http://www.corvuspharma.com/contact/,Burlingame,"901 Gateway Blvd, South San Francisco, CA 94080, USA",Unknown,Immuno-oncology,Existing
Cothera Bioscience,https://cotherabio.com,San Mateo,"2929 Campus Drive, Suite 230, San Mateo, CA 94403",Clinical-Stage Biotech,Drug Screening,Existing
Countable Labs,http://countablelabs.com/,Palo Alto,"1810 Embarcadero Rd ste 200, Palo Alto, CA 94303, USA",Unknown,Identifying Rare Events in PCR Workflow,Existing
Credence MedSystems,https://www.credencemed.com/contact/,Menlo Park,"1430 O'Brien Dr, Menlo Park, CA 94025, USA",Unknown,Prefilled safety syringe,Existing
Culture Biosciences,https://www.culturebiosciences.com/,South San Francisco,"269 E Grand Ave., South San Francisco, CA 94080, USA",Tools/Services/CDMO,Contract Fermentation,Existing
Cura Therapeutics,http://www.aduro.com/,Berkeley,"626 Bancroft Way #3c, Berkeley, CA 94710, USA",Unknown,Immunotherapies,Existing
CuraSen Therapeutics,https://www.curasen.com/contact/,San Carlos,"733 Industrial Rd A, San Carlos, CA 94070, USA",Unknown,Small Molecules,Existing
Curebase,https://www.curebase.com/,San Francisco,"548 Market St PMB 86319, San Francisco, CA 94104, USA",Unknown,Clinical Software,Existing
Cureline,http://www.cureline.com/,South San Francisco,"6000 Shoreline Ct #102, South San Francisco, CA 94080, USA",Tools/Services/CDMO,"Global Biobank, Human Biospecimen Research Services",Existing
Curio Bioscience,http://curiobioscience.com/,Palo Alto,"4030 Fabian Way, Palo Alto, CA 94303, USA",Unknown,High Resolution Spatial Biology,Existing
Curve Biosciences,https://sagimet.com/,San Mateo,"155 Bovet Rd UNIT 303, San Mateo, CA 94402, USA",Unknown,Whole Body Intelligence Diagnostics,Existing
Cyagen Biosciences,http://www.cyagen.com/us/en,Santa Clara,"2255 Martin Ave, Santa Clara, CA 95050, USA",Tools/Services/CDMO,"Contract research; Rodent models, DNA vectors, Stem Cell Products",Existing
Cyclarity Therapeutics,https://cyclaritytx.com,Novato,"8001 Redwood Blvd, Novato, CA 94945",Pre-clinical/Startup,7-ketocholesterol Targeting,Existing
Cypre,https://epic-bio.com/,San Francisco,"7000 Shoreline Ct STE 100, South San Francisco, CA 94080, USA",Unknown,3D tumor modeling platform,Existing
Cystetic Medicines,https://www.precigenetics.com/,San Carlos,"733 Industrial Rd, San Carlos, CA 94070, USA",Unknown,Small molecule channels that serve as molecular prosthetics for missing or dysfunctional CFTR protein,Existing
Cytek Biosciences,https://cytekbio.com/,Fremont,"47215 Lakeview Blvd, Fremont, CA 94538, USA",Unknown,Flow Cytometers,Existing
Cytokinetics,https://cytokinetics.com,South San Francisco,"350 Oyster Point Blvd, South San Francisco, CA 94080",Commercial-Stage Biotech,Small molecule muscle biology modulators for cardiovascular and neuromuscular diseases.,Existing
CytomX Therapeutics,http://cytomx.com/,South San Francisco,"151 Oyster Point Blvd #400, South San Francisco, CA 94080, USA",Tools/Services/CDMO,"Protease-Activated Antibodies, 'Probodies'",Existing
Cytovale,http://cytovale.com/,South San Francisco,"2 Tower Pl, South San Francisco, CA 94080, USA",Unknown,Sepsis Detection,Existing
DC3 Therapeutics,http://www.dc3therapeutics.com/,South San Francisco,"163 W Harris Ave, South San Francisco, CA 94080, USA",Tools/Services/CDMO,Pre-clinical Contract Research,Existing
DNAnexus,https://www.dnanexus.com/,Mountain View,"1975 W El Camino Real #204, Mountain View, CA 94040, USA",Unknown,Cloud-based genomic analysis,Existing
Da Zen Theranostics,https://www.genistabio.com/,San Jose,"5500 Hellyer Ave Suite 150, San Jose, CA 95138, USA",Unknown,Cancer-targeting carrier dyes,Existing
Dark Horse Consulting,https://www.darkhorseconsultinggroup.com/,Walnut Creek,"1255 Treat Blvd # 230, Walnut Creek, CA 94597, USA",Pre-clinical/Startup,Cell & Gene Therapy Consulting,Existing
Darmiyan,http://www.mbcbiolabs.com/,San Francisco,"953 Indiana St, San Francisco, CA 94107, USA",Unknown,Brain Imaging,Existing
Deciduous Therapeutics,http://pendulumlife.com/,San Francisco,"2001 Bryant St, San Francisco, CA 94110, USA",Pre-clinical/Startup,Medicines that activate the endogenous immune mechanism responsible for the elimination of senescent cells,Existing
Deep Apple Therapeutics,https://www.appletherapeutics.in/,San Francisco,"5th Floor, 507, 507A, Hemkunt Tower 98, 506, Nehru Place, New Delhi, Delhi 110019, India",Unknown,Oral small molecule,Existing
DeepSight Technology,https://www.deepsight.com,Santa Clara,"2953 Bunker Hill Ln, Suite 309, Santa Clara, CA 95054",Commercial-Stage Biotech,Next-gen Ultrasound,Existing
Deepcell,https://deepcell.com/,Menlo Park,"1360 O'Brien Dr, Menlo Park, CA 94025, USA",Unknown,Genetic Tests,Existing
Delve Bio,http://distributedbio.com/,San Francisco,"201 Gateway Blvd, South San Francisco, CA 94080, USA",Unknown,Metagenomic NGS Diagnostics,Existing
Denali Therapeutics,https://www.denalitherapeutics.com,South San Francisco,,,Neurodegenerative diseases,BPG
DiaCarta,http://www.diacarta.com/,Hayward,"4385 Hopyard Rd Suite 100, Pleasanton, CA 94588, USA",Unknown,Molecular Diagnostics Tests,Existing
Diablo Clinical Research,https://diabloclinical.com/,Walnut Creek,"2255 Ygnacio Valley Rd # M, Walnut Creek, CA 94598, USA",Unknown,Clinical Research,Existing
Diagnostic BioSystems,http://dbiosys.com/,Pleasanton,"6616 Owens Dr, Pleasanton, CA 94588, USA",Unknown,"Immunohistochemistry, in-vitro Diagnostics",Existing
Differentia Biotech,http://distributedbio.com/,South San Francisco,"201 Gateway Blvd, South San Francisco, CA 94080, USA",Unknown,Modeling & simulation Technology,Existing
Diffuse Bio,https://www.hexagonbio.com/,Menlo Park,"1490 O'Brien Dr, Menlo Park, CA 94025, USA",Unknown,Generative AI for Protein Design,Existing
Directory Listed Only,https://biopharmguy.com/links/company123,Berkeley,,,Biotechnology,BPG
Dispatch Bio,http://distributedbio.com/,San Francisco,"201 Gateway Blvd, South San Francisco, CA 94080, USA",Unknown,Immuno-oncology,Existing
Dow Development Labs,https://dowdevelopmentlabs.com/,Petaluma,"1031 N McDowell Blvd, Petaluma, CA 94954, USA",Tools/Services/CDMO,"Formulation Development, Clinical Manufacturing, Supplies",Existing
Dren Bio,https://www.drenbio.com/,Foster City,"835 Industrial Rd Suite 400, San Carlos, CA 94070, USA",Pre-clinical/Startup,Protein Therapeutics,Existing
Dualitas Therapeutics,http://www.tunitastherapeutics.com/,South San Francisco,"400 E Jamie Ct, South San Francisco, CA 94080, USA",Tools/Services/CDMO,Bispecific antibodies for immune and inflammatory diseases,Existing
Durect,http://www.durect.com/,Cupertino,"10240 Bubb Rd, Cupertino, CA 95014, USA",Pre-clinical/Startup,Drug Delivery,Existing
DyAnsys,https://www.dyansys.com/customer-support,San Mateo,"300 N Bayshore Blvd, San Mateo, CA 94401, USA",Unknown,Percutaneous electrical neurostimulation device,Existing
Dynavax Technologies,https://www.dynavax.com,Emeryville,"2100 Powell St, Suite 720, Emeryville, CA 94608",Commercial-Stage Biotech,"Vaccines & TLR Agonists & Immunology.
Adjuvant biology; protein production for vaccine antigens.",Existing
EAG Laboratories,https://www.eag.com/,Santa Clara,"2710 Walsh Ave, Santa Clara, CA 95051, USA",Tools/Services/CDMO,Analytical & Synthesis Services,Existing
EBR Systems,http://www.ebrsystemsinc.com/,Sunnyvale,"480 Oakmead Pkwy, Sunnyvale, CA 94085, USA",Unknown,Wireless Cardiac Stimulation,Existing
EGeen,https://www.gen1e.com/,Mountain View,"1895 El Camino Real, Palo Alto, CA 94306, USA",Unknown,Clinical Research,Existing
EPOK Therapeutics,http://www.eikontx.com/,Hayward,"3929 Point Eden Way, Hayward, CA 94545, USA",Unknown,EPOR receptor agonist,Existing
EV Therapeutics,http://excision.bio/,San Francisco,"499 Jackson St Suite 300, San Francisco, CA 94111, USA",Unknown,Extracellular Vesicle Delivery,Existing
Eargo,http://www.eargo.com/,San Jose,"2665 N First St STE 300, San Jose, CA 95134, USA",Unknown,Hearing Aids,Existing
Earli,https://www.earli.com/,Redwood City,"1400 Bridge Pkwy Suite 201, Redwood City, CA 94065, USA",Unknown,Early cancer biomarker detection,Existing
EchoPixel,http://www.echopixeltech.com/,San Jose,"780 Montague Expy Suite 305, San Jose, CA 95131, USA",Unknown,3D Surgical Imaging,Existing
Eclipse Regenesis,https://www.bioeclipse.com/,Mountain View,"319 N Bernardo Ave, Mountain View, CA 94043, USA",Unknown,Tissue-Growing Device for Short Bowel Syndrome,Existing
Edge BioSystems,http://www.edgebio.com/,San Jose,"2032 Concourse Dr, San Jose, CA 95131, USA",Unknown,Sequencing Dyes,Existing
EditCo Bio,https://www.editco.bio/,Redwood City,"600 Saginaw Dr, Redwood City, CA 94063, USA",Unknown,"Cell Engineering Platform, guide RNAs and made-to-order edited cells",Existing
Editpep,,Berkeley,"2630 Bancroft Way, Berkeley, CA 94704, USA",Unknown,CRISPR Therapies,Existing
Eicos Sciences,http://eicossciences.com/,San Mateo,"5425 Wisconsin Ave floor 6, Chevy Chase, MD 20815, USA",Unknown,Prostacyclins,Existing
Eigen Therapeutics,https://www.eigentx.com/,Redwood City,"740 Broadway, Redwood City, CA 94063, USA",Unknown,Cancer Priming Therapies,Existing
Eikon Therapeutics,https://www.eikontx.com,Hayward,"3929 Point Eden Way, Hayward, CA 94545",Clinical-Stage Biotech,"Live-cell single-molecule imaging drug discovery. Protein dynamics & quantitative imaging;
structural insights valuable.",Existing
Eko Devices,http://ekohealth.com/,Emeryville,"2100 Powell St, Emeryville, CA 94608, USA",Unknown,Digital Stethoscope,Existing
Ekso Bionics,http://www.eksobionics.com/,San Rafael,"101 Glacier Point # A, San Rafael, CA 94901, USA",Unknown,Exoskeleton,Existing
Electra Therapeutics,http://www.sutrobio.com/,South San Francisco,"111 Oyster Point Blvd, South San Francisco, CA 94080, USA",Unknown,Therapies for immunological diseases and cancer,Existing
Elegen,,San Carlos,"3565 Haven Ave Suite 3, Menlo Park, CA 94025, USA",Unknown,DNA writing,Existing
Element,https://www.element.com/locations/the-americas/concord,Concord,"2341 Stanwell Dr, Concord, CA 94520, USA",Tools/Services/CDMO,"Global life sciences services. Benefit from CDMO, CRO, analytical, and central lab support.",Existing
Element Science,https://elementscience.com/,San Francisco,"200 Kansas St Suite 210, San Francisco, CA 94103, USA",Unknown,Wearable device to prevent cardiac death,Existing
Elevalue Laboratories,,Berkeley,"2630 Bancroft Way, Berkeley, CA 94704, USA",Tools/Services/CDMO,Contract Cell & Gene Therapy and Biologics,Existing
Eliaz Therapeutics,http://www.amitabhaclinic.com/,Santa Rosa,"398 Tesconi Ct #4653, Santa Rosa, CA 95401, USA",Unknown,Extracorporeal Galectin-3 Removal,Existing
Elim Biopharm,https://www.elimbio.com/,Hayward,"25495 Whitesell St, Hayward, CA 94545, USA",Tools/Services/CDMO,Life Science Services,Existing
Eliquent Life Sciences,https://eliquent.com/,San Francisco,"1055 Thomas Jefferson St NW, Washington, DC 20007, USA",Unknown,Regulatory & Compliance Consulting,Existing
Elixir Medical,http://www.elixirmedical.com/,Milpitas,"920 N McCarthy Blvd #100, Milpitas, CA 95035, USA",Unknown,Stents,Existing
Elutia,http://aziyo.com/contact/,Richmond,"12510 Prosperity Dr #370, Silver Spring, MD 20904, USA",Pre-clinical/Startup,Drug-eluting biomatrix,Existing
Embolx,http://www.embolx.com/,Sunnyvale,"530 Lakeside Dr #150, Sunnyvale, CA 94085, USA",Tools/Services/CDMO,Microcatheters for arterial embolization procedures,Existing
Emmecell,http://www.emmecell.com/,Menlo Park,"3475 Edison Way suite t, Menlo Park, CA 94025, USA",Unknown,Cell Therapies for Ophthalmology,Existing
Empirical Spine,https://comprehensivespineandsports.com/,San Carlos,"655 Redwood Hwy #203, Mill Valley, CA 94941, USA",Unknown,Spinal Stenosis Device,Existing
EnGen Bio,https://www.enginebio.com/,Redwood City,"1400 Bridge Pkwy, Redwood City, CA 94065, USA",Pre-clinical/Startup,M1-targeting Flu Treatments,Existing
Enable Biosciences,http://www.enablebiosciences.com/,South San Francisco,"510 Myrtle Ave # 101, South San Francisco, CA 94080, USA",Unknown,Antibody Detection,Existing
Enable Medicine,http://www.enablebiosciences.com/,Menlo Park,"510 Myrtle Ave # 101, South San Francisco, CA 94080, USA",Unknown,Spatial Biology,Existing
Enabled Therapeutics,http://www.enablebiosciences.com/,San Francisco,"510 Myrtle Ave # 101, South San Francisco, CA 94080, USA",Unknown,Small Molecule Captons,Existing
Encellin,https://www.encellin.com,Mountain View,"319 North Bernardo Avenue, Mountain View, CA",Pre-clinical/Startup,Ultra thin-film implantable cell delivery system,Existing
Encoded Therapeutics,https://encoded.com/,South San Francisco,"341 Oyster Point Blvd, South San Francisco, CA 94080, USA",Pre-clinical/Startup,Gene Therapy,Existing
Encoll,https://www.helicoll.com/,Fremont,"4576 Enterprise St, Fremont, CA 94538, USA",Unknown,Collagen products,Existing
Endiatx,https://endiatx.com/,Hayward,"25545 Whitesell St, Hayward, CA 94545, USA",Unknown,Pill-sized Robot,Existing
Endocrine Technologies,https://endocrinetech.com/,Newark,"35325 Fircrest St # A, Newark, CA 94560, USA",Tools/Services/CDMO,"Peptide synthesis, ELISA kits",Existing
Endogena Therapeutics,http://excision.bio/,San Francisco,"499 Jackson St Suite 300, San Francisco, CA 94111, USA",Pre-clinical/Startup,Regenerative Medicine,Existing
Endometrics,,San Francisco,"2630 Bancroft Way, Berkeley, CA 94704, USA",Unknown,Non-invasive test for endometriosis,Existing
Endovascular Engineering,https://jupiterendo.com/,Menlo Park,"155 Jefferson Dr, Menlo Park, CA 94025, USA",Unknown,Thrombectomy Device,Existing
Endpoint Health,https://endpoint.health/contact/,Palo Alto,"855 El Camino Real Suite 13A, Palo Alto, CA 94301, USA",Pre-clinical/Startup,Personalized Medicine,Existing
Endurance Bio,http://www.therinibio.com/,San Francisco,"Lilly Labs, 681 Gateway Blvd, South San Francisco, CA 94080, USA",Unknown,Oral Small Molecules,Existing
Engage Bio,https://cagebio.com/contact-us,San Carlos,"733 Industrial Rd A, San Carlos, CA 94070, USA",Pre-clinical/Startup,Tethosome Gene Therapy,Existing
Engine Biosciences,https://www.enginebio.com/,Redwood City,"1400 Bridge Pkwy, Redwood City, CA 94065, USA",Unknown,AI & genomics,Existing
Enoda Cellworks,https://www.hexagonbio.com/,Menlo Park,"1490 O'Brien Dr, Menlo Park, CA 94025, USA",Pre-clinical/Startup,Cell Therapy,Existing
Ensho Therapeutics,https://www.shennonbio.com/,San Francisco,"2325 3rd St Suite 326-328, San Francisco, CA 94107, USA",Unknown,Small Molecules Targeting IBD,Existing
Ensigna Biosystems,https://ensigna.com/,Alameda,"1600 Harbor Bay Pkwy #200, Alameda, CA 94502, USA",Tools/Services/CDMO,Lab Services,Existing
Enspectra Health,http://www.enspectrahealth.com/,Mountain View,"2495 Hospital Dr, Mountain View, CA 94040, USA",Unknown,Cell Imaging Device,Existing
Enviroflo,http://www.enviroflo.com/,San Jose,"6081 Meridian Ave suite 70-340, San Jose, CA 95120, USA",Unknown,Lab enclosures,Existing
Eolo Pharma,http://www.allogene.com/,San Francisco,"210 E Grand Ave., South San Francisco, CA 94080, USA",Pre-clinical/Startup,Obesity Treatment,Existing
Epalex,,Mountain View,"305 Lytton Ave, Palo Alto, CA 94301, USA",Unknown,Specialty Pharmaceuticals,Existing
EpiBiologics,https://www.epibiologics.com/,San Mateo,"1900 Alameda de las Pulgas, San Mateo, CA 94403, USA",Unknown,Bispecific Antibody,Existing
Epicrispr Biotechnologies,https://epic-bio.com/,South San Francisco,"7000 Shoreline Ct STE 100, South San Francisco, CA 94080, USA",Unknown,Therapies to control gene expression,Existing
Epinoma,http://www.iovance.com/,San Carlos,"825 Industrial Rd, San Carlos, CA 94070, USA",Unknown,Methyl-preserving amplification technology,Existing
Epiodyne,https://www.r2mpharma.com/,San Francisco,"600 Gateway Blvd #100, South San Francisco, CA 94080, USA",Unknown,Small Molecule,Existing
Ermaris Bio,https://emerypharma.com/,Oakland,"1000 Atlantic Ave #110, Alameda, CA 94501, USA",Pre-clinical/Startup,Treatments for Blindness,Existing
Estrella Immunopharma,http://www.eurekatherapeutics.com/,Emeryville,"5858 Horton St #370, Emeryville, CA 94608, USA",Unknown,Combining CD19-Redirected ARTEMIS T Cells with cancer-labeling technology,Existing
Eugit Therapeutics,https://www.eigentx.com/,San Carlos,"740 Broadway, Redwood City, CA 94063, USA",Unknown,Tissue Targeting Therapies,Existing
Eureka Therapeutics,https://www.eurekatherapeutics.com,Emeryville,"5858 Horton St, Suite 370, Emeryville, CA 94608",Clinical-Stage Biotech,T-cell therapies for solid tumors using ARTEMIS® antibody and TCR platforms with structural biology focus.,Existing
Evercrisp Biosciences,https://epic-bio.com/,South San Francisco,"7000 Shoreline Ct STE 100, South San Francisco, CA 94080, USA",Unknown,Miniproteins for receptor-mediated delivery of protein and oligonucleotide payloads,Existing
Everest Detection,http://www.convergentgenomics.com/,San Francisco,"425 Eccles Ave, South San Francisco, CA 94080, USA",Unknown,Cancer Diagnosis,Existing
Evidation Health,http://www.evidation.com/,San Mateo,"3 E 3rd Ave, San Mateo, CA 94401, USA",Unknown,Behavioral Data Collection,Existing
Evident Vascular,https://evidentvascular.com/contact/,San Jose,"142 Charcot Ave, San Jose, CA 95131, USA",Unknown,Intravascular Ultrasound,Existing
Evommune,http://evommune.com/,Palo Alto,"1841 Page Mill Rd #100, Palo Alto, CA 94304, USA",Pre-clinical/Startup,Human Skin Model for Drug Discovery,Existing
Exact Sciences,https://www.exactsciences.com,Redwood City,"101 Galveston Drive, Redwood City, CA 94063",Commercial-Stage Biotech,"Cancer diagnostics (Cologuard, Oncotype DX). Genomics and diagnostics focus.",Existing
Exai Bio,https://exai.bio/,Palo Alto,"3350 W Bayshore Rd, Palo Alto, CA 94303, USA",Unknown,Liquid Biopsy,Existing
Excellergy,https://exai.bio/,Palo Alto,"3350 W Bayshore Rd, Palo Alto, CA 94303, USA",Unknown,allergic Effector Cell Response Inhibitors,Existing
